hsa-mir-155,hsa-mir-491,hsa-mir-196b,hsa-mir-10a,hsa-mir-21,hsa-mir-148a,hsa-mir-1266,hsa-mir-200c,hsa-mir-128,hsa-mir-146b,hsa-mir-1296,hsa-mir-15b,hsa-mir-28,hsa-mir-105,hsa-mir-653,hsa-mir-452,hsa-mir-767,hsa-mir-141,hsa-mir-34a,hsa-mir-193a,hsa-mir-139,hsa-mir-374a,hsa-mir-23a,hsa-mir-504,hsa-mir-27a,hsa-mir-346,hsa-mir-503,hsa-mir-142,hsa-mir-501,hsa-mir-10b,hsa-mir-200a,hsa-mir-200b,hsa-mir-9,hsa-mir-30a,hsa-mir-574,hsa-mir-339,hsa-mir-100,hsa-mir-25,hsa-mir-138,hsa-mir-217,hsa-mir-335,hsa-mir-96,hsa-mir-671,hsa-mir-1262,hsa-mir-616,hsa-mir-455,hsa-mir-937,hsa-mir-383,hsa-mir-99b,hsa-mir-424
0.34674,0.49012,0.49285,0.03376,0.91827,0.96678,0.00696,0.03874,0.28791,0.35457,0.25432,0.37005,0.71212,0.12403,0.04043,0.12981,0.05547,0.52676,1,0.08251,0.16245,0.64769,0.22745,0.1159,0.84586,0.01677,0.40647,0.98728,0.34758,0.64063,0.25366,0.12862,0.85572,0.41179,0.36958,0.29764,0.61489,0.6842,0.18217,0.06178,1,0.52038,0.03712,0.061,0.00696,0.16109,0.05828,0.13538,0.2314,0.82134
0.89016,0.26279,0.39927,0.26821,0.86151,0.56538,0.12758,0.16108,0.48598,0.63282,0.14997,0.94053,0.6169,0.1051,0.04701,0.06943,0.03511,0.25628,0.51515,0.15306,0.21977,0.64769,0.56724,0.0485,0.70194,0.02374,0.34362,0.23181,0.23349,0.10063,0.0556,0.17002,0.75222,0.45749,0.53281,0.27383,0.73664,0.79128,0.15015,0.02069,0.34511,0.05914,0.02829,0.0744,0.01437,0.25557,0.10355,0.04002,0.35254,0.42256
0.41376,0.08722,0.38859,0.20564,1,0.25815,0.05053,0.05644,0.58669,0.40893,0.22994,0.52691,0.81951,0.28162,0.06671,0.05348,0.11751,0.04019,0.43232,0.35855,0.34598,0.68868,0.55421,0.31037,0.58295,0.24887,0.36716,0.02561,0.56458,0.35968,0.00317,0.05243,0.7085,0.61617,0.47253,0.12609,0.80118,0.97433,0.29396,0.02899,0.49629,0.24008,0.08309,0.14431,0.00569,0.33826,0.11204,0.74596,0.59537,0.56123
0.62005,0.21114,0.4959,0.00648,0.84049,0.23495,0.07614,0.04831,0.40395,0.41499,0.01678,0.18528,0.54106,0.11602,0.05793,0.0259,0.31961,0.03916,0.65895,0.32153,0.41262,0.22699,0.30933,0.58008,0.61182,0.58465,0.38628,0.00285,0.00457,0.45598,0.06783,0.18728,0.68763,0.37636,0.37517,0.04418,0.63098,0.69465,0.2916,0.02203,0.47582,0.09127,0.08864,0.10566,0.00696,0.07398,0.11,0.44935,0.32513,0.36023
0.56233,0.63861,0.38859,0.07286,0.76709,0.40702,0.19524,0.04014,0.32107,0.2353,0.5312,0.55382,0.62158,0.26617,0.03412,0.08899,0.11489,0.29835,1,0.14537,0.34042,0.78674,0.19157,0.2276,0.77811,0.03844,0.28483,0.37639,0.13106,1,0.03845,0.04226,0.75222,0.356,0.50987,0.14027,0.74725,0.8525,0.33673,0.05946,0.2986,0.137,0.01035,0.07399,0.01542,0.16109,0.11204,0.08776,0.22235,0.79059
0.20804,0.43684,0.02906,0.07533,0.41374,0.21949,0.18235,0.52559,0.80914,0.29092,0.24052,0.03289,0.0891,0,0,0.8529,0.02568,0.07127,0.54465,0.01434,0.79196,0.26962,0.45943,0.80122,0.27501,0.76637,0.05781,0.1333,0.16482,0.01294,0.02712,0.32043,0.51191,0.24161,0.73401,0.02802,0.28638,0.5009,0.04982,0.27479,0.41498,0.01758,0,0.43517,0.11778,0.07848,0.1149,0.06684,0.02412,0.27642
0.36125,0.38819,0.15656,0.00281,0.753,0.16615,0.03389,0.35539,0.62343,0.41499,0.51252,0.51474,0.62645,0.04018,0.05091,0.00988,0.02947,0.05692,0.18939,0.0444,0.69755,0.36223,0.29113,0.81758,0.377,0.85899,0.00116,0.1034,0.07377,0.03894,0.06133,0.05575,0.79262,0.34061,0.36958,0.14027,0.49682,0.47929,0.37902,0.03079,0.44905,0.00407,0.07879,0.11018,0.00488,0.25375,0.47768,0.02312,0.51224,0.47857
0,0.8297,0.01598,0.00863,0,0.51045,0.75165,1,0,0.11378,0.01007,0.02287,0,0.97291,0.02056,0.81764,1,0.07546,0.94777,0.01251,0.03826,0.20295,0.11751,0.95378,0,0.98059,0.11811,0.20468,0.01649,0.00188,0.0227,0.99159,0,0.02002,0,0.16097,0.01085,0,0,0.03628,0,0.0066,0.0085,0.31598,0.04916,0.0173,0.14686,0.12431,0,0.02281
0.35316,0.25803,0.21999,0.01165,0.66218,0.10344,0.04125,0.47463,0.87663,0.45131,0.27648,0.71443,0.80524,0.20731,0.05908,0.03251,0.04873,0.06198,0.32881,0.19252,0.5203,0.34188,0.45943,0.15887,0.51055,0.09843,0.24115,0.00242,0.43514,0.25121,0.00292,0.06749,0.76366,0.55999,0.4246,0.24546,0.92993,0.66623,0.30078,0.02294,0.56425,0.07114,0.10303,0.20135,0.0655,0.08842,0.1114,0.4177,0.49697,0.31091
0.57062,0.25308,0.96971,0.11014,1,0.39563,0.06013,0.13319,0.70342,0.2353,0.42109,0.56352,0.74201,0.26833,0.06598,0.06197,0.22086,0.0534,0.29435,0.3058,0.34598,0.34706,0.56724,0.09646,0.60291,0.17272,0.34362,0.03094,0.21095,0.03501,0.0096,0.09095,0.71978,0.39485,0.49439,0.13941,0.6477,0.83981,0.05701,0.01639,0.50073,0.21462,0.04652,0.29534,0.01787,0.20837,0.09044,0.80319,0.53988,0.40096
