hsa-mir-155,hsa-mir-491,hsa-mir-196b,hsa-mir-10a,hsa-mir-21,hsa-mir-148a,hsa-mir-1266,hsa-mir-200c,hsa-mir-128,hsa-mir-146b,hsa-mir-1296,hsa-mir-15b,hsa-mir-28,hsa-mir-105,hsa-mir-653,hsa-mir-452,hsa-mir-767,hsa-mir-141,hsa-mir-34a,hsa-mir-193a,hsa-mir-139,hsa-mir-374a,hsa-mir-23a,hsa-mir-504,hsa-mir-27a,hsa-mir-346,hsa-mir-503,hsa-mir-142,hsa-mir-501,hsa-mir-10b,hsa-mir-200a,hsa-mir-200b,hsa-mir-9,hsa-mir-30a,hsa-mir-574,hsa-mir-339,hsa-mir-100,hsa-mir-25,hsa-mir-138,hsa-mir-217,hsa-mir-335,hsa-mir-96,hsa-mir-671,hsa-mir-1262,hsa-mir-616,hsa-mir-455,hsa-mir-937,hsa-mir-383,hsa-mir-99b,hsa-mir-424
0.16975,0.21871,0.08175,0.49698,0.23331,0.41611,0.24225,0.51769,0.48641,0.05024,0.50597,0.46096,0.84516,0.35031,0.17453,0.24585,0.28262,0.17298,0.13484,0.51582,0.29385,0.58862,0.73134,0.46598,0.58958,0.18503,0.0392,0.25502,0.54751,0.352,0.36169,0.40684,0.91016,0.80496,0.48487,0.28673,0.70615,0.6806,0.27067,0.33334,0.45989,0.29225,0.47687,0.39472,0.21573,0.49918,0.47208,0.59505,0.78209,0.18822
0.82585,0.34036,0.48256,0.49029,0.54159,0.53276,0.46638,0.63699,0.25801,0.59656,0.15531,0.57037,0.50512,0.22961,0.2243,0.24308,0.19783,0.38601,0.72027,0.359,0.42165,0.4288,0.54212,0.18583,0.38415,0.18387,0.5373,0.76853,0.60545,0.70948,0.64031,0.4928,0.94633,0.81261,0.58393,0.35246,0.49398,0.50463,0.4556,0.66047,0.33498,0.47185,0.69395,0.22134,0.20241,0.45844,0.24022,0.46959,0.49262,0.31855
0.36982,0.28192,0.05269,0.30371,0.1462,0.34708,0.04343,0.21646,0.27432,0.2066,0.4318,0.14577,0.32485,0.34773,0.09212,0.08541,0.3228,0.06329,0.28631,0.22334,0.31234,0.39962,0.23792,0.34228,0.15036,0.30857,0.34346,0.4654,0.56452,0.85603,0.34911,0.23745,0.98599,0.49909,0.25362,0.17521,0.35813,0.37914,0.40679,0.4235,0.35506,0.19933,0.23124,0.22844,0.17492,0.33054,0.26679,0.35715,0.27025,0.25117
0.21285,0.29214,0.38019,0.26528,0.32217,0.30373,0.25774,0.16818,0.21879,0.21527,0.55769,0.41435,0.26421,0.45485,0.0383,0.10186,0.38146,0.1965,0.14275,0.1016,0.36403,0.47271,0.17618,0.34493,0.21101,0.52295,0.31014,0.34555,0.41988,0.8518,0.06187,0,0.98054,0.2558,0.09108,0.22084,0.31241,0.40488,0.21971,0.40304,0.3044,0.51966,0.16886,0.35383,0.14759,0.25322,0.03503,0.34282,0.29418,0.37161
0.35405,0.26203,0.12733,0.39907,0.3006,0.49748,0.3173,0.41024,0.24883,0.29338,0.29944,0.21177,0.66093,0.32597,0.18794,0.10028,0.26955,0.32048,0.55415,0.19511,0.22414,0.71507,0.44284,0.05958,0.41187,0.41717,0.0747,0.46472,0.51429,0.80431,0.40273,0.24519,0.97027,0.53175,0.44377,0.35958,0.56568,0.4439,0.45905,0.47454,0.19926,0.0928,0.33939,0.37618,0.21386,0.54917,0.23615,0.33329,0.40482,0.12033
0.31514,0.5775,0.12093,0.22765,0.30183,0.26682,0.13184,0.29221,0.44745,0.33706,0.63077,0.30039,0.46611,0.44311,0.02328,0.2053,0.44377,0,0.25024,0.30341,0.54065,0.51666,0.29638,0.31562,0.3687,0.62475,0.33615,0.46212,0.5195,0.46544,0.198,0.09683,0.9793,0.32325,0.36842,0.27044,0.33975,0.44097,0.58621,0.08298,0.3358,0.25649,0.37906,0.40103,0.1073,0.38349,0.23472,0.49571,0.41023,0.43808
0.21366,0.06885,0.04166,0.22897,0.07083,0.1248,0.05724,0.0792,0.27398,0.00781,0.21865,0.14416,0.14498,0.42959,0.17563,0.20213,0.44404,0.05762,0.08031,0.13103,0.42736,0,0.03603,0.10086,0,0.45404,0.25288,0.1642,0.51642,0.24894,0.04601,0.06382,1,0.43557,0.01196,0.1251,0.20598,0.13691,0.14035,0.05562,0.10678,0.32506,0.08967,0.02607,0.17308,0,0.04953,0.48126,0.10176,0.11486
0.5454,0.51603,0.84818,0.7754,0.10959,0.61045,0.73771,0.35842,0.30891,0.24724,0.44091,0.50729,0.59226,0.21844,0.16593,0.27446,0.18839,0.39424,0.35718,0.2674,0.36067,0.58883,0.19786,0.20119,0.35754,0.24299,0.36832,0.37036,0.5078,0.56871,0.49018,0.20366,0.96315,0.71788,0.40096,0.45893,0.44301,0.58816,0.37352,0.15231,0.46907,0.02938,0.47082,0.26366,0.15081,0.22946,0.06057,0.43786,0.67046,0.33841
0.5281,0.28829,0.15224,0.49359,0.32577,0.3408,0.28353,0.30556,0.25479,0.21024,0.33448,0.37745,0.47765,0.52246,0.31841,0.17511,0.53987,0.06288,0.35253,0.15826,0.56045,0.43606,0.26318,0.3034,0.19922,0.67831,0.57098,0.44451,0.61127,0.67544,0.05021,0.12534,0.98379,0.46275,0.55404,0.2063,0.24539,0.43777,0.80307,0.40686,0.21024,0.20638,0.37191,0.0548,0.26006,0.26572,0,0,0.2794,0.48132
0.62563,0.40793,0.03815,0.6054,0.68024,0.53348,0.60217,0.72112,0.66138,0.47363,0.24679,0.64319,0.70247,0.38904,0.36571,0.38851,0.34165,0.55343,0.61279,0.6331,0.70041,0.63721,0.95552,0.56488,0.82217,0.30374,0.25889,0.42412,0.57589,0.61328,0.7641,0.6326,0.82251,0.74755,0.69698,0.30202,0.78524,0.62416,0.49223,0.16736,0.69776,0,0.73197,0.50921,0.18849,0.65091,0.71738,0.75267,0.76391,0.41101
0.30306,0.29606,0.05936,0.13546,0.29548,0.41181,0.09692,0.16256,0.35019,0.25841,0.16658,0.47656,0.43507,0.08955,0.06982,0.16033,0.07166,0.11693,0.53014,0.30615,0.12041,0.27225,0.59308,0.0419,0.58554,0.08465,0.41117,0.46225,0.49101,0.60972,0.47267,0.37902,0.89315,0.81891,0.284,0.4021,0.66394,0.43247,0.123,0.32854,0.51852,0.03793,0.49356,0.1019,0.13745,0.20926,0.34571,0.27073,0.96944,0.24213
0.73386,0.20796,0.08488,0.41906,0.83732,0.58292,0.38322,0.53983,0.4581,0.45707,0.20132,0.52965,0.77672,0.23448,0.07695,0.43604,0.21766,0.37469,0.46319,0.50451,0.37369,0.7903,0.93378,0.13027,0.975,0.16813,0.34362,0.50507,0.53324,0.16797,0.73104,0.4873,0.79324,0.69591,0.50286,0.38029,0.67378,0.63085,0.2819,0.30034,0.80538,0.4997,0.60577,0.30521,0.10388,0.47875,0.93538,0.46698,0.70995,0.53746
0.47117,0.32731,0.15492,0.3544,0.57272,0.46573,0.2992,0.38794,0.48106,0.32329,0.53945,0.46581,0.77314,0.2811,0.17799,0.40532,0.26703,0.2909,0.19876,0.58429,0.41772,0.89937,0.56591,0.56178,0.63639,0.45034,0.10132,0.47552,0.58071,0.52093,0.51307,0.29115,0.90619,0.77648,0.58864,0.46195,0.64817,0.49543,0.31258,0.27132,0.35216,0.2199,0.36147,0.62271,0.1154,0.47932,0.44142,0.70375,0.56819,0.50952
0.48802,0.61281,0.22814,0.38475,0.59294,0.32681,0.35426,0.66021,0.4823,0.31347,0.80205,0.47871,1,0.48579,0.09649,0.49314,0.42193,0.41819,0.40031,0.61101,0.65906,0.81814,0.70469,0.37051,0.84358,0.51639,0.27562,0.453,0.52104,0.62221,0.61671,0.378,0.86826,0.56993,0.70823,0.49245,0.66555,0.72259,0.70644,0.31922,0.3755,0.16227,0.29459,1,0.23855,0.60062,0.81777,0.58475,0.51115,0.63303
0.46043,0.39275,0.19597,0.26289,0.40896,0.2536,0.16723,0.30487,0.29063,0.28016,0.70458,0.53624,0.62027,0.56899,0.22918,0.47565,0.55621,0.24373,0.16719,0.46876,0.49118,0.23252,0.67147,0.43559,0.59965,0.43536,0.49601,0.45596,0.47269,0.51821,0.07973,0.10811,0.93964,0.55755,0.4307,0.33767,0.35553,0.57537,0.53447,0.30289,0.2284,0.1628,0.34887,0.38918,0.24659,0.61419,0.60344,0.19466,0.60301,0.21664
0.40149,0.44043,0.42377,0.40204,0.32017,0.36032,0.26938,0.28687,0.52433,0.0522,0.59507,0.49541,0.60534,0.36311,0.16123,0.44665,0.34416,0.32616,0.41615,0.40261,0.42756,0.48682,0.72666,0.34121,0.76106,0.52282,0.35397,0.55008,0.49265,0.79163,0.34428,0.24954,0.91191,0.6478,0.55151,0.42679,0.42662,0.55916,0.38641,0.24159,0.35864,0.2744,0.44764,0.23904,0.41076,0.51991,0,0.51691,0.6243,0.48526
0.12987,0.24846,0.08549,0.17504,0.22975,0.2074,0.1834,0.17587,0.59759,0.2104,0.51281,0.37018,0.3294,0.4977,0.04626,0.13856,0.56174,0.19038,0.15614,0.36681,0.50302,0.15987,0.23531,0.22018,0.28131,0.38445,0.44081,0.22021,0.29326,0.73281,0.18429,0.16153,0.95011,0.46206,0.0898,0.20589,0.50015,0.50822,0.49447,0.12855,0.49123,0.55927,0.20495,0.10476,0.12704,0.20195,0.14479,0.37262,0.20666,0.26709
0.38527,0.92566,0.08909,0.3555,0.24657,0.48281,0.22285,0.45244,0.90588,0.61398,0.78381,0.41358,0.52652,0.65089,0.41841,0.27106,0.56086,0.40299,0.47109,0.42398,1,0.4123,0.42612,0.93819,0.4773,0.98592,0.40229,0.48505,0.5454,0.22359,0.58565,0.46947,0.82178,0.58899,0.66587,0.41425,0.61479,0.40772,0.89959,0.18395,0.59503,0,0.80237,0.19684,0.39564,0.4949,0.31455,0.9213,0.80545,0.36659
0.23651,0.64857,0.08036,0.29849,0.17078,0.40856,0.10035,0.30823,0.60701,0.31133,0.6968,0.36358,0.41606,0.52698,0.17647,0.19665,0.51596,0.1846,0.39541,0.27378,0.71849,0.28701,0.33023,0.38386,0.49597,0.7116,0.46143,0.33661,0.41896,0.18634,0.31977,0.04233,0.9511,0.55745,0.17014,0.27602,0.49427,0.40415,0.61141,0.22219,0.4241,0.39068,0.34746,0.21896,0.14639,0.39241,0.12572,0.68314,0.43803,0.4455
0.38115,0.53349,0.06623,0.39136,0.37722,0.43476,0.16802,0.43658,0.44295,0.47969,0.56554,0.26848,0.32118,0.46178,0.28645,0.25777,0.41742,0.39187,0.57324,0.24397,0.52537,0.45515,0.28525,0.3649,0.26919,0.65479,0.29132,0.49399,0.59109,0.73777,0.57051,0.29981,0.97387,0.52696,0.43809,0.3088,0.34937,0.40832,0.58031,0.42452,0.43443,0.45838,0.40092,0.24335,0.24471,0.41295,0.26711,0.68075,0.43275,0.30472
