cg21237418,cg14001567,cg18396533,cg14672994,cg06630737,cg06834875,cg17820591,cg17927917,cg08912400,cg04809787,cg26163537,cg23696834,cg23749760,cg24101359,cg27522780,cg20025656,cg02867079,cg09619786,cg12281657,cg09052983,cg26200580,cg23214764,cg24178740,cg13134662,cg02595219,cg01185080,cg07360076,cg08727202,cg15835825,cg18107072,cg04749104,cg14170423,cg05970437,cg26453588,cg14204735,cg14849559,cg12613383,cg07895149,cg01457653,cg18877506,cg21700166,cg13488201,cg02914379,cg03005261,cg17679246,cg00651216,cg00273068,cg14892066,cg13097407,cg12800028
0.75007,0.0623,0.75222,0.71451,0.85731,0.78487,0.7631,0.7021,0.79035,0.7703,0.79367,0.70681,0.6995,0.88308,0.48152,0.60617,0.87608,0.73793,0.74638,0.68679,0.5294,0.63867,0.72595,0.32955,0.82659,0.80348,0.73181,0.77209,0.04087,0.77896,0.57821,0.78453,0.83842,0.69729,0.85761,0.74399,0.5232,0.74534,0.43394,0.82005,0.25689,0.73374,0.70507,0.78927,0.59141,0.51017,0.75055,0.32555,0.84212,0.14291
0.15133,0.02454,0.34462,0.10764,0.09988,0.57708,0.04899,0.07968,0.16914,0.15118,0.21056,0.06254,0.22209,0.08244,0.08176,0.21999,0.16302,0.08966,0.06284,0.09705,0.12861,0.14846,0.45162,0.12873,0.40941,0.25585,0.09754,0.40756,0.36316,0.11035,0.07559,0.37054,0.09258,0.32464,0.10596,0.27636,0.21271,0.05036,0.12743,0.08066,0.12698,0.14989,0.11613,0.34841,0.16901,0.09212,0.23658,0.07476,0.06781,0.22141
0.70654,0.02398,0.61557,0.73211,0.88613,0.77318,0.75014,0.70699,0.73165,0.12337,0.74538,0.68404,0.68238,0.73237,0.28717,0.66634,0.76716,0.70307,0.5886,0.4128,0.71181,0.78443,0.66798,0.1995,0.79432,0.60568,0.65785,0.73039,0.05192,0.64706,0.0923,0.69693,0.56869,0.80282,0.77518,0.62677,0.61056,0.67917,0.46058,0.74936,0.21518,0.655,0.70372,0.75466,0.2837,0.46139,0.6536,0.74451,0.8368,0.11469
0.85405,0.03755,0.61794,0.57144,0.92154,0.84593,0.83836,0.4793,0.85442,0.83018,0.87043,0.80897,0.68663,0.9091,0.56156,0.80782,0.87221,0.84769,0.93998,0.85203,0.41061,0.70244,0.62727,0.52437,0.91316,0.88545,0.67788,0.81104,0.04569,0.83524,0.63222,0.84646,0.93182,0.89085,0.8748,0.86916,0.537,0.87185,0.60486,0.86334,0.54349,0.84753,0.79443,0.8774,0.23779,0.72856,0.83717,0.82757,0.94893,0.09021
0.72419,0.03239,0.78675,0.67204,0.79098,0.80897,0.73849,0.58862,0.70456,0.38291,0.71738,0.63592,0.71233,0.74749,0.49722,0.70685,0.76197,0.50598,0.63987,0.62501,0.64442,0.64471,0.65266,0.18586,0.75865,0.64241,0.60757,0.55233,0.08187,0.67651,0.4208,0.69093,0.27006,0.77685,0.77038,0.57191,0.47669,0.81804,0.56971,0.72933,0.66559,0.66115,0.65079,0.77717,0.53067,0.18511,0.6606,0.51083,0.7868,0.23928
0.71573,0.03809,0.67419,0.7376,0.85297,0.84608,0.64327,0.50357,0.75799,0.50048,0.79748,0.70296,0.66731,0.7265,0.67567,0.67453,0.74521,0.72394,0.76282,0.65745,0.33107,0.77289,0.67187,0.19638,0.77525,0.67082,0.69668,0.64765,0.06925,0.69792,0.57067,0.69526,0.81205,0.71877,0.80801,0.66663,0.43183,0.6669,0.62412,0.74431,0.53888,0.64916,0.40973,0.74648,0.4938,0.5893,0.70362,0.72697,0.80762,0.11736
0.86331,0.04145,0.85301,0.847,0.9371,0.8381,0.86739,0.88077,0.8261,0.87389,0.85629,0.79475,0.7979,0.91419,0.79945,0.77468,0.92077,0.56624,0.89146,0.83767,0.20393,0.8854,0.81711,0.47798,0.88413,0.88812,0.80416,0.83768,0.06583,0.83268,0.88759,0.83379,0.80631,0.87445,0.87969,0.84831,0.77307,0.78924,0.87556,0.89361,0.81873,0.84065,0.78705,0.89567,0.8129,0.787,0.82178,0.57896,0.9186,0.08083
0.19818,0.02728,0.32409,0.14539,0.19632,0.54272,0.09884,0.06369,0.16146,0.16035,0.32978,0.05821,0.26754,0.05471,0.07647,0.18287,0.17793,0.06691,0.0667,0.06397,0.06014,0.06535,0.45131,0.14415,0.58435,0.1078,0.09604,0.27656,0.08113,0.1756,0.09463,0.42599,0.10671,0.20578,0.29241,0.02556,0.15511,0.09162,0.09892,0.06119,0.12561,0.09159,0.17067,0.31251,0.15472,0.08711,0.29941,0.10078,0.19303,0.4605
0.80339,0.03713,0.76428,0.79525,0.90052,0.81796,0.54575,0.83454,0.7691,0.76685,0.81352,0.75926,0.60488,0.82154,0.46091,0.72773,0.86516,0.79088,0.83811,0.20055,0.74033,0.76642,0.66755,0.11275,0.89164,0.51503,0.79013,0.77877,0.0494,0.77642,0.79115,0.79032,0.93001,0.86297,0.8596,0.78384,0.65552,0.70513,0.23194,0.79024,0.56613,0.79889,0.78997,0.86242,0.45161,0.44821,0.78833,0.86233,0.8454,0.07502
0.15746,0.03176,0.35142,0.12773,0.06743,0.6138,0.06078,0.05038,0.41476,0.14417,0.28325,0.06718,0.15345,0.05949,0.05855,0.54899,0.20377,0.05469,0.1358,0.0974,0.1073,0.08787,0.32557,0.11175,0.34534,0.12793,0.07196,0.39704,0.35026,0.37854,0.08798,0.39603,0.07338,0.28006,0.23797,0.03298,0.1521,0.05296,0.05866,0.04276,0.08518,0.05017,0.15944,0.21009,0.07658,0.0629,0.22184,0.0871,0.14234,0.59431
